(141.625|38.542),(141.625|38.625),(141.625|38.708),(141.625|38.792),(141.625|38.875),(141.625|38.958),(141.625|39.042),(141.625|39.125),(141.708|38.542),(141.708|38.625),(141.708|38.708),(141.708|38.792),(141.708|38.875),(141.708|38.958),(141.708|39.042),(141.708|39.125),(141.792|38.542),(141.792|38.625),(141.792|38.708),(141.792|38.792),(141.792|38.875),(141.792|38.958),(141.792|39.042),(141.792|39.125),(141.875|38.542),(141.875|38.625),(141.875|38.708),(141.875|38.792),(141.875|38.875),(141.875|38.958),(141.875|39.042),(141.875|39.125),(141.958|38.542),(141.958|38.625),(141.958|38.708),(141.958|38.792),(141.958|38.875),(141.958|38.958),(141.958|39.042),(141.958|39.125),(142.042|38.542),(142.042|38.625),(142.042|38.708),(142.042|38.792),(142.042|38.875),(142.042|38.958),(142.042|39.042),(142.042|39.125),(142.125|38.542),(142.125|38.625),(142.125|38.708),(142.125|38.792),(142.125|38.875),(142.125|38.958),(142.125|39.042),(142.125|39.125),(142.208|38.542),(142.208|38.625),(142.208|38.708),(142.208|38.792),(142.208|38.875),(142.208|38.958),(142.208|39.042),(142.208|39.125),(142.292|38.542),(142.292|38.625),(142.292|38.708),(142.292|38.792),(142.292|38.875),(142.292|38.958),(142.292|39.042),(142.292|39.125)
20130114,-0.573659897,-0.306106389,-0.120956331,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.496333927,-0.375764310,-0.238244399,-0.175931886,-0.255019993,0.00000000,0.00000000,0.00000000,-0.285060614,-0.299189806,-0.110995233,-0.111435331,-0.458428562E-01,0.702562854E-01,-0.415788144E-01,0.00000000,0.660440326E-01,-0.643580640E-02,0.205835432,0.262036115,0.344316363,0.462790042,0.343197763,0.00000000,0.348865598,0.356633127,0.518916190,0.518366098,0.582487226,0.654743493,0.554704487,0.748235404,0.269693971,0.205850780,0.292411387,0.238731876,0.350871086,0.479833663,0.351018667,0.762674212,-0.820439756E-01,-0.170060813,-0.102595948,-0.100681975,0.478710164E-03,0.247711986,0.239273836E-02,0.401155621,-0.405055463,-0.692704737,-0.702609658,-0.702299356,-0.539580107,-0.248808637,-0.419170588,-0.384620070,-0.143092766,-0.514887393,-0.817663491,-1.21137905,-1.02877009,-0.589146793,-0.404224187,-0.484331816
20130115,-0.689737737,-0.425363332,-0.175184056,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.445307165,-0.394117564,-0.269496173,-0.405540645,-0.351319462,0.00000000,0.00000000,0.00000000,-0.132279083,-0.170871988,0.456503928E-01,-0.182905644E-01,0.101860046,0.155424222,-0.328426123,0.00000000,0.221713215,0.173488438,0.388068706,0.355012566,0.488695890,0.525326133,0.316970021,0.00000000,0.433263958,0.475277245,0.562261820,0.551071227,0.638708413,0.611404419,0.591484666,0.633916616,0.120859765,0.130065396,0.200291783,0.222238585,0.333291590,0.338441133,0.424980909,0.711688697,-0.194130793,-0.298883319,-0.233659163,-0.196935356,-0.752491951E-01,0.269387271E-01,-0.430731997E-01,0.309837043,-0.390539318,-0.613082588,-0.610132635,-0.727082312,-0.644135356,-0.418989092,-0.483983487,-0.430187196,-0.684222430E-01,-0.320282191,-0.346574247,-0.626723349,-0.807420731,-0.517478764,-0.407747120,-0.407541364
20130116,-0.458517820,-0.393490791,-0.255870461,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.359792709,-0.427843481,-0.262948513,-0.280338407,-0.137450472,0.00000000,0.00000000,0.00000000,0.104746800E-01,-0.100951523,0.147361562,0.686759874E-01,0.207192972,0.257504791,-0.782282650E-01,0.00000000,0.313285232,0.263822466,0.428174227,0.420092195,0.529959798,0.500320911,0.280910671,0.00000000,0.427038163,0.524916232,0.497331023,0.580614507,0.582159340,0.615808964,0.659460306,0.905820072,0.181559958E-01,0.180540487,0.105724327,0.195217073,0.220369995,0.323368162,0.430721164,0.590429306,-0.290755630,-0.278356582,-0.225467429,-0.230986834,-0.182813182,-0.861187354E-01,-0.130114835E-01,0.264825374,-0.266878039,-0.391287833,-0.239479810,-0.371308029,-0.558753729,-0.438847691,-0.460511029,-0.418305606,0.682123413E-03,-0.490458719E-01,0.839490891E-01,0.560660735E-01,-0.403893024,-0.234694913,-0.255173951,-0.310973376
20130117,-0.353290528,-0.393250614,-0.303565651,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.253735334,-0.398665249,-0.197583735,-0.212562993,-0.174831301,0.00000000,0.00000000,0.00000000,0.141136706,-0.436492525E-01,0.287246644,0.149639770,0.248213992,0.342170924,-0.771166831E-01,0.00000000,0.442699999,0.328954399,0.512728333,0.505127847,0.559705436,0.517658949,0.271489650,0.00000000,0.597422183,0.579079688,0.534734964,0.701195836,0.657136559,0.758046210,0.766780853,0.978174448,0.224758372,0.251873136,0.154401377,0.320341676,0.313173652,0.472202092,0.466784924,0.629249752,-0.100827791,-0.592422187E-01,0.298374202E-01,0.329744145E-01,-0.377292186E-01,0.265886970E-01,0.790536478E-01,0.341101199,0.200823625E-02,0.198617717E-02,0.222102851,0.252544940,-0.726457685E-01,-0.139323652,-0.209220514,-0.260276943,0.200799927,0.261325419,0.276145160,0.253856093,0.124811120,0.119761363,0.107025512,-0.188857540E-01
20130118,-0.444249451,-0.489832819,-0.413592339,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.366857916,-0.484558254,-0.242716938,-0.288857430,-0.271751553,0.00000000,0.00000000,0.00000000,0.678833053E-01,-0.916540399E-01,0.291446567,0.952327624E-01,0.152838662,0.303993940,-0.106637649,0.00000000,0.379907489,0.269195408,0.487819612,0.445684493,0.492660582,0.462449402,0.230854377,0.00000000,0.561101913,0.475245923,0.502395451,0.665347040,0.656800270,0.755488276,0.755680382,0.840739191,0.255487800,0.172832921,0.157440916,0.377286106,0.326158434,0.497811854,0.426321983,0.561007380,-0.492235683E-01,0.595915131E-02,0.976554453E-01,0.207533062,0.691158399E-01,0.807776824E-01,0.516451038E-01,0.342877001,0.595168881E-01,0.157394111,0.229412600,0.157614738,0.188952893,0.419731475E-01,-0.729929656E-01,-0.745800585E-01,0.178814366,0.229667708,0.623612031E-01,-0.199354455,0.192467228,0.161889330,0.120760903,0.693182796E-01
20130119,-0.699440897,-0.692499280,-0.536907971,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.642900527,-0.633217692,-0.367085159,-0.473075509,-0.433466226,0.00000000,0.00000000,0.00000000,-0.165898502,-0.156203464,0.185313120,-0.763699487E-01,0.322325937E-01,0.142963111,-0.252985805,0.00000000,0.186053157,0.183885455,0.361088753,0.292170078,0.371440530,0.339602917,0.143593118,0.00000000,0.327102154,0.294014215,0.384924740,0.508619845,0.540735006,0.607869506,0.554815710,0.713997900,0.690642819E-01,-0.941379834E-02,0.410133712E-01,0.212242305,0.182406425,0.338606894,0.265390962,0.405861914,-0.210140884,-0.169706449,-0.850064978E-01,-0.110582039,-0.350025408E-01,-0.227375273E-01,-0.952883884E-01,0.231075972,-0.153384462,-0.810561925E-01,-0.774405375E-01,-0.490114808,-0.193317503,-0.114902839,-0.243200481,-0.161288917,-0.133891210,-0.138018653,-0.336912572,-0.645947158,-0.305769444,-0.159793481,-0.216090947,-0.182627723
20130120,-0.813221395,-0.790431499,-0.659900665,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.713851869,-0.643944323,-0.490444481,-0.584996581,-0.481801987,0.00000000,0.00000000,0.00000000,-0.199672922,-0.101366140,0.573100150E-01,-0.170187473,0.341989771E-01,0.582816340E-01,-0.331227720,0.00000000,0.136820734,0.180492938,0.266938955,0.203071699,0.340059489,0.283497363,0.885979906E-01,0.00000000,0.215350196,0.235949054,0.341428012,0.398697704,0.446482658,0.517710745,0.434103221,0.648854077,-0.806667134E-01,-0.885223076E-01,-0.126769012E-01,0.147365145E-01,0.263830293E-01,0.217304170,0.140509650,0.306889087,-0.294336736,-0.268794835,-0.251163185,-0.458991766,-0.316413224,-0.110297427,-0.197701648,0.125375971,-0.315071613,-0.290687740,-0.254338861,-0.714582443,-0.680135429,-0.383983254,-0.425650805,-0.288985312,-0.388281554,-0.452444464,-0.382034153,-0.778542280,-0.780459702,-0.531921566,-0.509296298,-0.432630718
20130121,-0.878056347,-0.881386399,-0.790156722,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.679536760,-0.718284607,-0.648285627,-0.628028929,-0.460665405,0.00000000,0.00000000,0.00000000,-0.149654284,-0.156003222,-0.110852592,-0.166358083,0.702582374E-01,-0.277801976E-01,-0.398301840,0.00000000,0.115763701,0.130157650,0.161841601,0.165182948,0.306232572,0.212546572,0.316234194E-01,0.00000000,0.157301858,0.214658484,0.279178560,0.276390940,0.340512365,0.410982281,0.333295852,0.562721968,-0.178131446,-0.116949044,-0.120286174,-0.219437540,-0.186933517,0.109103054,-0.517148338E-02,0.171666771,-0.370304793,-0.320457906,-0.382564604,-0.650700808,-0.664401472,-0.240003765,-0.342143774,0.389396138E-01,-0.487757683,-0.497552723,-0.397723109,-0.680270851,-0.994745553,-0.737728298,-0.699625254,-0.430979282,-0.657754898,-0.758896291,-0.410369724,-0.709697723,-0.997146368,-0.940586269,-0.839539349,-0.703634143
20130122,-0.874062896,-0.929429591,-0.863514900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.643774927,-0.815206826,-0.689933121,-0.555378079,-0.406363845,0.00000000,0.00000000,0.00000000,-0.138946787,-0.281056821,-0.156472832,-0.810563937E-01,0.783228800E-01,-0.676841885E-01,-0.422864169,0.00000000,0.111025430,0.675078332E-01,0.135078251,0.179307923,0.275332004,0.172064394,0.274986032E-04,0.00000000,0.206919357,0.243765965,0.267638177,0.242333144,0.296204805,0.347471297,0.297832698,0.521914065,-0.117619082,-0.572270565E-01,-0.131672159,-0.296788990,-0.261480331,0.831733570E-01,-0.940518826E-01,0.137526616,-0.342491508,-0.261230677,-0.343278080,-0.663660467,-0.694412053,-0.228807792,-0.462846696,0.517883413E-01,-0.581426144,-0.637315571,-0.476836413,-0.544185758,-0.968210816,-0.972640753,-0.924113572,-0.483526409,-0.743047535,-0.900884748,-0.553426206,-0.553280830,-0.881557465,-1.09424198,-1.11987126,-0.879077196
20130123,-1.05668485,-1.25233865,-0.934197485,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.785415828,-0.943682551,-0.724972546,-0.874811053,-0.437924832,0.00000000,0.00000000,0.00000000,-0.293643624,-0.425646037,-0.126856416,-0.105679989,-0.449617356E-01,-0.508047640,-0.581570089,0.00000000,0.343767740E-01,-0.363644324E-01,0.122399531,0.134178594,0.189158067,0.826057270E-01,-0.110960484,0.00000000,0.241157383,0.219493195,0.241027460,0.149312854,0.219884962,0.263436794,0.222707048,0.431163847,0.241048750E-03,-0.144603057E-01,-0.186029062,-0.380315930,-0.302553296,-0.242306595E-02,-0.229349107,0.511013679E-01,-0.250691950,-0.199027717,-0.233626261,-0.620643735,-0.731671572,-0.467179656,-0.705360711,0.330725987E-02,-0.608476162,-0.690581501,-0.607131064,-0.604052961,-0.902480066,-1.14628994,-1.16525137,-0.619778693,-0.721598744,-0.955412507,-1.02273273,-0.690098107,-0.849988222,-1.07672930,-1.33935344,-1.21677697
20130124,-1.03686643,-1.15840697,-0.977919698,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.932487249,-0.987697780,-0.624969900,-0.589244962,-0.509666800,0.00000000,0.00000000,0.00000000,-0.453458369,-0.477381110,-0.908860788E-01,-0.211392805,-0.143768921,-0.239611372,-0.491544276,0.00000000,-0.591672696E-01,-0.928079933E-01,0.109146416,0.500836112E-01,0.997331291E-01,-0.170027763E-01,-0.105454974,0.00000000,0.234568089,0.195639014,0.222491905,0.994136110E-01,0.166048378,0.185700059,0.189010009,0.449559063,0.100286670,0.122466870E-01,-0.198556826,-0.360612631,-0.285078764,-0.125078350,-0.298135519,0.129188940,-0.120660305,-0.848952308E-01,-0.926278904E-01,-0.545045257,-0.773371756,-0.581031740,-0.709821701,0.105544381,-0.543095767,-0.577365279,-0.479883671,-0.602368653,-0.889630497,-1.18629944,-1.19041038,-0.611634791,-0.476618767,-0.827322602,-1.09460270,-0.881588757,-0.906197309,-1.02992523,-1.34873605,-1.44395769
20130125,-1.16635084,-1.20534360,-1.07876050,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.07876575,-0.991473913,-0.622666240,-0.698393583,-0.630770504,0.00000000,0.00000000,0.00000000,-0.607310474,-0.485693365,-0.103947416,-0.347067952,-0.220849827,-0.305015236,-0.590825319,0.00000000,-0.160640627,-0.120814949,0.840714127E-01,-0.448221862E-01,0.228759423E-01,-0.101476319,-0.127945155,0.00000000,0.231936350,0.202991173,0.221423075,0.113535330,0.148749381,0.134091944,0.200423494,0.442964494,0.212242320,0.666009560E-01,-0.131008297,-0.262232572,-0.212450862,-0.183406726,-0.192068845,0.174431384,0.833764821E-01,0.704778656E-01,0.371374041E-01,-0.406199872,-0.665572107,-0.509038448,-0.497332662,0.107827149,-0.358095855,-0.377208620,-0.104953364,-0.380179703,-0.780756712,-1.10677016,-1.03807616,-0.476560265,0.278593421,-0.372146070,-0.648366451,-0.758665502,-0.866406798,-1.00878930,-1.25890350,-1.39428711
20130126,-1.32271504,-1.31782901,-1.13607514,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.21980476,-1.03947163,-0.718255699,-0.864859223,-0.741962552,0.00000000,0.00000000,0.00000000,-0.739492893,-0.492109537,-0.178309247,-0.504266620,-0.339752316,-0.432869017,-0.654811263,0.00000000,-0.266738027,-0.133544624,0.303154308E-01,-0.151592866,-0.873639137E-01,-0.216240972,-0.218194783,0.00000000,0.184511021,0.208222538,0.212219268,0.990292057E-01,0.696168616E-01,0.809016638E-02,0.144831851,0.335422367,0.301670283,0.127580851,-0.784896538E-01,-0.176971614,-0.259771407,-0.284653783,-0.166355059,0.535951927E-01,0.422796726,0.261809111,0.141480878,-0.308545411,-0.590922654,-0.606099308,-0.591377914,-0.280914247,0.119159423,-0.202719614,-0.214021839E-01,-0.243127763,-0.694696188,-1.09702134,-1.05810463,-0.742021203,0.783028781,0.626559630E-01,-0.294640958,-0.435087711,-0.656201720,-0.947711945,-1.21454084,-1.34716916
20130127,-1.48102236,-1.45290613,-1.37744963,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.29362106,-1.10698140,-0.875202537,-1.03502429,-0.978497505,0.00000000,0.00000000,0.00000000,-0.740810513,-0.482808709,-0.223643497,-0.620858788,-0.522349238,-0.553297520,-0.823785901,0.00000000,-0.249450564,-0.894978344E-01,0.191784035E-01,-0.226054832,-0.175731510,-0.328195870,-0.428536057,0.00000000,0.203965589,0.277129978,0.250670135,0.115330346,0.655678585E-01,-0.885364600E-02,-0.919438805E-02,0.199427977,0.444646806,0.268284976,0.507869273E-01,-0.805183500E-01,-0.258453339,-0.248440415,-0.115363970,-0.466148853E-01,0.816984832,0.523831308,0.410350680,-0.708217919E-02,-0.401491135,-0.555165112,-0.492111355,-0.311113209,0.989190280,0.245780423,0.179186806,-0.195792038E-01,-0.500819266,-0.960030615,-0.951273680,-0.708393693,1.47395074,0.410360694,-0.555054247E-01,-0.152436286,-0.348538667,-0.733579874,-0.999058127,-1.15627670
20130128,-1.50043070,-1.44366848,-1.38130069,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.30451524,-1.09892917,-0.925743520,-1.10337067,-1.03368711,0.00000000,0.00000000,0.00000000,-0.703069389,-0.427797914,-0.206598818,-0.681405306,-0.590120316,-0.604496837,-0.822564960,0.00000000,-0.202143610,0.626877882E-02,0.698070377E-01,-0.247623473,-0.195622340,-0.356201440,-0.413124293,0.00000000,0.267948776,0.411769658,0.370506763,0.199643224,0.167401314,0.754829720E-01,0.752836019E-01,0.198323548,0.749994755,0.526315510,0.272020578,0.881392658E-01,-0.859536231E-01,-0.780997053E-01,-0.606041290E-01,-0.151664332,1.39605272,0.922580600,0.688414991,0.391059518,-0.466570221E-01,-0.327978760,-0.299791455,-0.355530173,1.72350371,1.05598116,0.644193590,0.441671431,-0.978226662E-01,-0.669138372,-0.695521414,-0.645696402,2.10220456,1.17853785,0.363974273,0.162914529,-0.728655010E-01,-0.521444321,-0.738609433,-0.913463771
